cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
826,2,0,10,0.0441945757130287,2433,6,1.804272708628173,0
571,6,2,4,0.536737814997894,761,4,0.9431945538974952,1
1122,2,0,0,0.4500514514151803,1942,11,0.9431945538974952,0
278,2,0,4,0.1905657739578236,576,11,0.9431945538974952,0
735,2,6,10,1.455884268793943,1077,11,0.8884502877862838,1
428,5,0,10,0.4898413411899011,668,12,0.9431945538974952,1
767,2,6,10,0.0640895206003891,1649,11,0.8884502877862838,1
1057,5,6,5,0.0035532920166361,2052,8,1.804272708628173,0
325,2,1,7,0.5296312309646218,555,3,0.9431945538974952,0
892,6,6,10,1.0898172828665122,2492,11,0.8884502877862838,0
1018,6,4,11,1.0102375033170707,2046,6,0.9431945538974952,0
812,6,0,10,0.6202965835248075,1461,3,0.8884502877862838,0
982,6,2,7,1.173376051393426,1861,11,0.9431945538974952,0
651,2,3,2,0.158733862138047,1519,12,0.8884502877862838,0
249,3,3,2,1.341344982368925,1297,6,0.8884502877862838,1
393,1,0,8,0.0990490274759658,639,11,0.8884502877862838,1
895,5,0,10,0.4381144844827641,2459,6,0.9431945538974952,0
600,6,1,11,0.3386397600459622,1037,6,1.804272708628173,1
1545,6,2,10,1.9015310342708156,1675,11,0.8884502877862838,0
435,2,6,10,0.1396903111723585,640,11,0.8884502877862838,1
544,6,0,5,0.2670179584514649,320,11,1.804272708628173,0
127,2,0,3,0.3386397600459622,233,11,0.9431945538974952,0
777,2,5,10,0.2104607188451839,1003,11,0.8884502877862838,0
972,3,3,2,0.9076351838244688,2439,6,0.8884502877862838,1
255,0,5,5,0.2550809915190487,688,11,0.9431945538974952,1
407,6,0,10,0.3068078482261857,471,7,0.9431945538974952,0
811,2,0,10,0.7604125916580021,1609,11,0.9431945538974952,0
283,4,3,2,1.1583114894052096,1620,6,0.0273721330556057,0
1307,6,0,10,0.8709728891055483,2502,11,1.804272708628173,0
539,6,5,11,0.2152911017443279,1176,12,0.9431945538974952,1
842,4,0,10,0.4492000574935084,1265,3,0.8884502877862838,0
400,2,0,4,0.055280148723773,686,11,0.8884502877862838,0
1697,6,2,3,2.916173223526194,1798,11,0.8884502877862838,0
202,6,0,10,0.1109859944083821,172,11,0.8884502877862838,1
1332,5,1,7,0.1149649833858541,2694,11,0.8884502877862838,0
319,2,0,9,0.4062825726629875,533,10,0.8884502877862838,1
368,6,1,8,0.0879634544652216,715,5,0.8884502877862838,0
64,2,0,7,0.056131542645445,56,6,0.8884502877862838,0
729,2,6,10,0.1914171678794955,1806,11,0.8884502877862838,1
1659,6,4,11,0.1078583993525819,2962,6,1.804272708628173,1
327,0,0,3,0.1595852560597189,549,10,0.8884502877862838,1
78,1,0,10,0.1317323332174144,49,6,0.8884502877862838,0
1011,6,0,10,1.4001784231093342,3320,11,0.9431945538974952,1
216,2,1,11,1.186164412247514,528,12,0.9431945538974952,1
759,2,6,10,0.9187207568352131,1970,11,0.9431945538974952,0
655,6,5,10,0.0203206418481963,1371,6,0.9431945538974952,1
57,1,0,7,0.5654421317618704,36,6,0.8884502877862838,0
256,0,0,4,0.3338093771468182,295,11,0.0273721330556057,0
722,0,2,10,2.685391862832814,1179,11,0.8884502877862838,1
502,6,4,11,0.3457463440792345,1443,12,0.9431945538974952,0
343,2,2,10,0.8041814704101949,276,11,0.9431945538974952,1
965,6,0,5,1.829909232676318,1411,6,0.9431945538974952,1
857,6,2,10,0.5248008480654778,943,11,0.0273721330556057,0
